Card Name,Card Link,Card ID,archive,Information through ATE,It can be taken to EREN,Danger type 3.,Danger type 2.,Hazard type,Hazard characterization,Keywords,2. FILTRATION,Information is ready,"Document, publication related to the case 2.",Information source name/affiliation,Primary source of information,"Document, publication related to the case",Action taken,Additional measures,2. FILTER Are risk management options known?,2. FILTER Severity,2. FILTER Measure,2. FILTER Proximity in time,2. FILTRATION Groundedness,Total score of SCREENING 2,1. FILTRATION,2. RESULT OF FILTERING,Result of FILTER 1,Pre-screening,It requires confidential case management,Event type,Regularity of revaluation,"Document, publication related to the case 3.",What driver affects it?,Driver effect,1. Justification of FILTERING,Date of event (appearance of risk).,Date of access to information,Description of action,What is the reason for the increased exposure/sensitivity?,Signal,Notifiable body,Rationale for pre-screening,DRIVERs 1,HAZARDcat 1,PRODUCT 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,SOME information,2. Justification of FILTERING,It must be indicated as a partner institution,Unnamed: 53
Q-fever possible increase in the exposure,https://trello.com/c/667149e2a8e3d3f0da6cd411,667149e2a8e3d3f0da6cd411,0,,,,Pollutant of environmental origin,Bacterium,"Vaccination: The Q-VAX® vaccine is a safe and effective way to prevent Q fever infection. Individuals at high risk of exposure, such as those working in occupations with increased exposure to infected animals, should consider getting vaccinated.    Personal Protective Equipment (PPE): Use appropriate PPE, such as gloves, masks, and protective clothing, when working with animals or in environments where exposure to contaminated materials is possible.    Hygiene Practices: Maintain good hygiene practices, including regular handwashing with soap and water, especially after handling animals or animal products.    Avoiding High-Risk Activities: Minimize activities that increase the risk of exposure to Coxiella burnetii, such as being present during animal births or handling contaminated materials without protection.    Environmental Controls: Implement measures to control dust and aerosolized particles that may contain the bacteria, such as proper ventilation and cleaning protocols in animal housing facilities.",#Q-VAX® vaccine#Personal Protective Equipment (PPE)#Hygiene practices#High-risk activities#Environmental controls#Coxiella burnetii#Animal exposure,,True,Publication,EREN,From another foreign institution/organization,Lecture,True,,,3,3,4,3,13.0,Known hazard and increased exposure,,II. PHASE,,,Economic and health,1 year,,,True,,,2024-05-23T10:00:00.000Z,,,,,,8. Climate change,1.3.2.2.9  Coxiella,3.1 Cattle and other domestic ruminants,,,2.2.2 Milk and milk products,4.2 Industrialisation of agriculture,,,,
Report: The state of soils in Europe,https://trello.com/c/678f5da3a6b66a94e221b544,678f5da3a6b66a94e221b544,0,,,,,Other,"Food Safety and Quality: The presence of pesticide residues and other pollutants in agricultural soils can lead to contaminated food products, posing risks to human health through the consumption of unsafe crops.    Nutrient Imbalance: Excessive nitrogen and phosphorus inputs can contribute to nutrient imbalances in food, potentially impacting human health through issues like increased risk of certain diseases or dietary deficiencies.    Water Quality: Soil degradation can lead to increased runoff and erosion, which may contaminate water sources with pollutants. This can affect drinking water quality and contribute to waterborne diseases.    Ecosystem Health: Degraded soils can harm biodiversity and disrupt ecosystems. This can have indirect health effects, as healthy ecosystems are essential for services like pollination and pest control.    Air Quality: Soil erosion can lead to dust and particulate matter being released into the air, which can contribute to respiratory issues and other health problems.    Social Impacts: Soil degradation can exacerbate socio-economic disparities, leading to food insecurity and health disparities in vulnerable populations.",#SoilDegradation #Europe #WarfareImpacts #Ukraine #JointResearchCentre #JRC #EuropeanEnvironmentAgency #EEA #PolicyMeasures #SoilMonitoring #SustainableLandManagement #CrossSectoralCollaboration #SoilFriendlyPractices #NitrogenInputs #PhosphorusSurpluses #PesticideResidues #SoilSealing #KnowledgeGaps #PublicEngagement #ResearchAndInnovation #EnvironmentalConcerns #SoilResilience,,True,,EMM,From the media,,,,,4,3,4,4,15.0,Known danger and increased sensitivity,,II. PHASE,,,Economic and health,,,,,,,2025-01-14T11:00:00.000Z,,,True,,,8. Climate change,1 Safety,2.1 Plants and Food of plant origin,,1.2.2 Agricultural contaminants,2.2 Food of animal origin,9.2 Increasing scarcity of fertile soils,,,,
Analysis of uptake of tralopyril and transformation products in salmon exposed to tralopyril coated net pen,https://trello.com/c/67430d4d245867fb34a252d3,67430d4d245867fb34a252d3,0,,,,,Chemical hazard,"Bioaccumulation in Fish: Tralopyril and its degradation products can accumulate in the muscle tissue of salmon, raising concerns about residue levels in the fish consumed by humans.    Food Safety: The lack of established maximum residue limits (MRLs) for tralopyril complicates risk assessments for human consumption, potentially exposing consumers to unsafe levels of the chemical.    Transformation Products: The presence of transformation products like HTFCCP, which may have unknown toxicological effects, adds uncertainty regarding the overall safety of salmon exposed to tralopyril.    Chemical Exposure: The possibility of tralopyril leaching into surrounding water can impact the broader ecosystem, which may, in turn, affect human health via contaminated water sources or other aquatic species consumed by humans.    Ecotoxicological Risks: Increased use of tralopyril may pose risks to non-target aquatic organisms, potentially disrupting ecosystems that indirectly affect human health through biodiversity loss or alterations in food chains.",#tralopyril #aquaculture #bioaccumulation #salmon #antifouling #food safety #environmental impact #transformation products #maximum residue limits #analytical methods,,True,,EMM,From the media,Media appearance,,,,2,3,3,3,11.0,Known danger and increased sensitivity,,II. PHASE,,,,,,,,,,2024-11-18T11:00:00.000Z,,,,,,2.5 Increasing Cooperation in Setting Standards for Safe Food,1. Chemical Hazards,2.2.1.4 Fish and Fish Products,More information needed,,2.2.1.5 Seafood and Seafood Products,4.2 Industrialisation of Agriculture,,,,
Will the world accept that biodiversity loss is just as big an existential threat as global warming?,https://trello.com/c/63cf9d2dd115926085380788,63cf9d2dd115926085380788,0,Ready,,,,Biological hazard,"Spread of Diseases: Disrupted ecosystems can lead to increased contact between humans and wildlife, potentially spreading zoonotic diseases (e.g., COVID-19, Ebola).    Food Security: Biodiversity is crucial for agriculture. Loss of species can lead to reduced crop variety and resilience, impacting food supply and nutrition.    Water Quality: Healthy ecosystems, like wetlands and forests, play a vital role in water purification. Their degradation can lead to poor water quality and associated health issues.    Air Quality: Loss of vegetation, especially forests, can reduce air quality, increasing respiratory diseases.    Medicinal Resources: Many medicines are derived from plants and animals. Biodiversity loss can limit the discovery of new medical treatments.    Mental Health: Nature and biodiversity have been linked to improved mental well-being. Their decline can negatively impact mental health.",#biodiversity#extinction#Cop15#genetic resources,,True,,EMM,From the media,Media appearance,True,,,3,,,,,Not ER,,,It will move on to PHASE I,,,,,you are a driver yourself,,,,2023-01-17T11:00:00.000Z,,,True,,,9.5 Diminishing biodiversity and ecosystem services,Agricultural Contaminants (1.2.2),2.1 Plants and Food of plant origin,,Pesticide Residues (1.2.3.1),2.2.1.4 Fish and fish products,8. Climate change,,,,
Antibiotic Residues in UK Foods: Exploring the Exposure Pathways and Associated Health Risks,https://trello.com/c/65f00f1cb1b3f950f5ea0212,65f00f1cb1b3f950f5ea0212,0,,,,,Veterinary medicine residue,"Antibiotic Resistance: Consuming antibiotics in food can contribute to the development of antibiotic-resistant bacteria, making infections harder to treat.    Allergic Reactions: Some individuals may experience allergic reactions to antibiotic residues in food.    Microbiome Imbalance: Regular exposure to antibiotics can disrupt the balance of beneficial bacteria in the human gut, potentially leading to digestive issues and weakened immune function.    Toxicity: High levels of antibiotic residues may lead to toxic effects, particularly if the acceptable daily intake levels are exceeded.    Public Health Impact: Widespread antibiotic use in food production can have broader public health implications, increasing the burden of resistant infections and healthcare costs.",#antibiotic residues#amoxicillin#ampicillin#enfloxacin,,,,EMM,From a professional journal,Publication,,,,3,4,3,3,13.0,Known hazard and increased exposure,,II. PHASE,,,,,,,,,,2024-03-05T11:00:00.000Z,,,,,,4.2 Industrialization of agriculture,1.2.3.2 Residues of veterinary medicinal products,2.2 Food of animal origin,,,,,,,,
How the FDA lets chemicals pour into America's food supply,https://trello.com/c/68074c42e83f3aa35cf11612,68074c42e83f3aa35cf11612,0,,,,Chemical hazard,Additive,"A range of food ingredients and additives can be found on the US market, which have not undergone FDA review and may pose health risks to consumers. It is a problem of the regulatory system, which needs to be solved centrally.",#FDA #additives #USA #GRAS,,True,,EMM,From the media,,,,,,,,,,Not ER,,2 is eliminated.,It will move on to PHASE I,It doesn't require,Healthcare,,,,,"The issue is not ER, this is a concern of the US food control system.",,2025-04-15T10:00:00.000Z,,,,,"A range of food ingredients and additives can be found on the US market, which have not undergone FDA review and may pose health risks to consumers. It is a problem of the regulatory system, which needs to be solved centrally.",,1.2.5 Food additives,2 Food,,2.1 Composition,,,,,,
Burkholderia Risks in Home-Fermented Foods,https://trello.com/c/683ebd2d658aa3ea604d8f53,683ebd2d658aa3ea604d8f53,0,,,Chemical hazard,Bacterium,A naturally occurring toxic compound,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases.",#Burkholderia #home-fermenting #climate change #bongkrekic acid,III. PHASE,True,,EREN,From another foreign institution/organization,,,,3 (no),4,2,4,3,16.0,A new danger,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,climate change,,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases. Awareness (both consumer and clinician) is low and detection methods are scarce.",,2025-05-12T10:00:00.000Z,,"Climate change favoring the production of the toxin, and increasing consumer trends towards home-fermentation.",,,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases.",,1.2.2.2.1 Bacterial toxins,"2.8 Prepared foods, dishes, snacks and sauces",,,2 Food,,,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases. Awareness (both consumer and clinician) is low and detection methods are scarce.",,
EU bureaucrats spark fury after warning coffee is 'DANGEROUS' to humans and ban caffeine in pesticides,https://trello.com/c/67f4d91d16a43d6959b2b731,67f4d91d16a43d6959b2b731,0,,,,Plant protection product residue,Chemical hazard,"Caffeine is harmful in high doses, however, coffee is a popular drink and has beneficial health effects in moderate amounts.",#caffeine #pesticide #coffee,,True,,EMM,From the media,,,,,,,,,,Not ER,,2 is eliminated.,It will move on to PHASE I,It doesn't require,Healthcare,,,,,"The EFSA did not support the use of high dose caffeine as a pesticide, and so the Commission did not approve the application.",,2025-03-11T11:00:00.000Z,,,,,"Caffeine is harmful in high doses, however, coffee is a popular drink and has beneficial health effects in moderate amounts.",,1.2.3.1 Pesticide residues,2.1.3 Vegetables and vegetabel products,,,"2.1.4 Tubers, starchy roots and sugar plants",,,,,
Citrinins - new detection methods,https://trello.com/c/674306a0bc24863b79096bfa,674306a0bc24863b79096bfa,0,,,,Chemical hazard,Mikotoxin,citrinins pose potential health risk due to their suspected carcinogenic properties and toxicity to the kidney and liver.,#citrinin #mycotoxin #analytical challenge #modified forms,,True,,EREN,From another foreign institution/organization,,,,,,,,,,New evidence for hazard characterization,,More information is required,It will move on to PHASE I,It doesn't require,Healthcare,,,climate change,True,"This work adds information on occurrence data of citrinins in real samples. While citrinin is a known toxin, it is yet unclear how the modified forms contribute to the overall health burden.",,2024-10-28T11:00:00.000Z,,,,,citrinins pose potential health risk due to their suspected carcinogenic properties and toxicity to the kidney and liver,8. Climate change,1.2.2.2.4 Mycotoxins,2.1 Plants and Food of plant origin,,,1 Feed,,,,,
Threats to the Mercosur agreement,https://trello.com/c/67fcac7c821567abd877352f,67fcac7c821567abd877352f,0,,,Bacterium,Virus,Plant protection product residue,"Hazard Identification:   Presence of pesticide residues (e.g., banned pesticides) in poultry products.    Microbiological hazards such as Salmonella and other pathogens.    Potential contamination with chemical residues like chlorinated chemicals.    Biosecurity threats such as avian influenza virus.   Likelihood of Occurrence:   High likelihood of contaminated poultry shipments due to inadequate controls and inspections in exporting countries.    Increased risk of pathogen transmission due to the volume of imports and safety concerns.   Exposure:   Consumers in the EU exposed through consumption of imported poultry meat.    Workers and handlers may be at risk during processing and transportation.   Severity of Impact:   Food safety hazards can cause foodborne illnesses, impacting public health.    Chemical residues may pose health risks, especially with chronic exposure.    Biosecurity risks like avian influenza could threaten local poultry industries and economies.   Control Measures and Uncertainty:   Inspection and monitoring are challenging to implement on every shipment, leading to uncertainty about the safety of all imported products.    Differences in safety standards and enforcement between exporting and importing countries.   Vulnerabilities:   Increased import volumes from Mercosur countries can overwhelm inspection systems.    Existing sanitary concerns and alerts indicate vulnerabilities in current safety controls.   Potential for Spread:   Pathogens like Salmonella and avian influenza can spread easily through international trade, affecting multiple regions.",#EUMercosurAgreement #PoultrySector #Avianza #FoodSafety #RASFF #BrazilianPoultry #BannedPesticides #Salmonella #AvianInfluenza #EuropeanCommissionAudit #RabobankReport #TradeIncrease #SanitaryControls #LocalProduction #ConsumerHealth #Competitiveness #QualityCertification,,,,EMM,From the media,Media appearance,,,,3,3,3,3,12.0,Known hazard and increased exposure,,,,,Economic and health,,,,,,,2025-04-08T10:00:00.000Z,,,True,,,2.1 Globalization of trade,1.2.3.1 Pesticide residues,3.4 Poultry,,1.3.2.2 Bacteria,,Consumer attitudes,,,,
"Anti-cholesterol supplements, the European Commission intervenes: “Limit the dosages, they can give side effects”",https://trello.com/c/63c5be0d6e1f1302ed3a926a,63c5be0d6e1f1302ed3a926a,0,,,,,Chemical hazard,"Side Effects: Monacolin and lovastatin share the same side effects, which include:    Muscle pain and weakness (myopathy)  Liver damage  Headaches  Gastrointestinal issues  Skin reactions  Problems affecting connective tissue and the nervous system    Lack of Medical Supervision: Since these supplements are available without a prescription, consumers may not receive the necessary medical guidance to identify and manage potential side effects or interactions with other medications.    Dosage Risks: Without regulation, consumers might inadvertently consume doses higher than recommended, increasing the risk of adverse effects. The new regulation aims to mitigate this by limiting daily intake to under 3 mg of monacolin.    Interactions with Other Medications: Monacolin can interact with other drugs, potentially leading to harmful effects, which might not be monitored without medical oversight.    Quality and Consistency: Supplements can vary in monacolin content, leading to inconsistent dosing and effectiveness, unlike prescription medications which have strict quality controls.    The European Commission’s regulation emphasizes the importance of consumer awareness and the need for caution when using these supplements, highlighting the necessity of consulting healthcare professionals.",#anticholesterol#monacolin#lovastatin#EU Commission#new regulation#red yeast rice,,,,EMM,From the media,Media appearance,True,,,2,3,3,3,11.0,New evidence for hazard characterization,,II. PHASE,It will move on to PHASE I,,Healthcare,1 year,,,,,,2023-01-10T11:00:00.000Z,,,,,,3.6 Food fraud,1.2.2.2 Toxins,"2.6 Food supplements, dietary foods, and fortified foods",,,,,,,,
Bysphenol A new risk assessment,https://trello.com/c/629f429f1fda854c84ab68d8,629f429f1fda854c84ab68d8,0,Ready,,,,,"1.  High exposure levels: Studies conducted in European countries found that exposure to BPA was well above acceptable safety levels, with up to 100% of participants likely being exposed to BPA above safe health levels.     Potential adverse health effects: BPA has been linked to various health concerns, including potential hormone disruption and other adverse effects on human health.",#Bisphenol #bisphenolA #biszfenol,,True,,EREN 2022/II,From another foreign institution/organization,,True,,,,,,,,,,,,,,6 months,,,,,,2022-05-11T10:00:00.000Z,,,,,,,,,,,,,,,,
Nitrogen inhibitors,https://trello.com/c/668d1c48a28588f67dc7f590,668d1c48a28588f67dc7f590,0,,,,,Chemical hazard,"Dual role: Mitigate emissions but introduce new chemical residues.  Variable toxicity: E.g., bromoform (carcinogenic) vs. 3-NOP (low acute toxicity).",,,,,EREN,From another foreign institution/organization,,,,,2,3,4,4,13.0,,,,,,,,,,,,,2024-05-23T10:00:00.000Z,,,,,,8. Climate change,1.2.2.2 Toxins,1.2 Feed additives,,,,.2 Industrialisation of agriculture,,,,
Increase of fish parasites,https://trello.com/c/60363bd9471b722b407c26e1,60363bd9471b722b407c26e1,0,Ready,,,,A parasite,"Zoonotic helminth parasite, in humans The larvae penetrate the stomach wall, causing symptoms within minutes or hours of consumption: abdominal pain, nausea, vomiting. A less common parasitic condition is gnathostomiasis, in which the larva wandering in the skin causes symptoms, intestinal capillariasis, and paragonimiasis (lung fluke disease).",#anisakis #parasite #fishparasite #scallop,,True,,EREN short issues 2020 november,From another foreign institution/organization,Publication,,Communication,1 (again),3,Not enough information,3,4,11.0,Known hazard and increased exposure,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,climate change,True,,2020-11-02T11:00:00.000Z,2020-11-02T11:00:00.000Z,,"climate change, new host",,Nébih,,,,,,,,,Ready,,,
Rapeseed oil cake for human consumption (reduction of advanced glycation end products),https://trello.com/c/5d42ebd5b836403e05b3140a,5d42ebd5b836403e05b3140a,0,,,,,A naturally occurring toxic compound,"Glucosinolates, phytates, antinutritive substances levels must be kept below the threshold in the flour made from the cake. Since oil cake is an industrial by-product used for animal feed, the technology used is not of a quality suitable for human consumption, which may carry risks.",#rapeseed #rapeseedcake #glucosinolate #phytate,,,Publication,EMM,From the media,Media appearance,,Other,3 (no),1,Not enough information,4,4,12.0,Known hazard and increased exposure,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,"sustainability, replacement of artificial AGE drugs with many side effects",True,"More and more widespread, mass production has begun",2019-07-24T10:00:00.000Z,2019-07-24T10:00:00.000Z,,"Due to the need for protein, flour made from rapeseed cakes is used as food.",,Nébih,"For now, the case contains unknown risks.",,,,,,,,Ready,"Safe production does not pose a risk, but the authorities must be alerted to monitor the potential danger.",True,
New American variegated squirrel bornavirus 1 (VSBV-1),https://trello.com/c/5c79255594bf8e07fe23517a,5c79255594bf8e07fe23517a,0,Ready,To Do,,,Virus,"American variegated squirrels and species belonging to the Callosciurinae subfamily are asymptomatic carriers, causing encephalitis in humans with a high mortality rate. A new virus strain has been identified, not yet found in other species. It spreads through contact. In three cases, death occurred within 2-4 months from the onset of clinical symptoms.",#bornavirus #VSBV-1 #variegatedsquirrel,,True,Publication,EREN session,From another foreign institution/organization,Other,,Communication,3 (no),4,1,Not enough information,4,12.0,A new danger,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,1 year,,,,A new virus strain,2011-03-02T11:00:00.000Z,2016-03-02T11:00:00.000Z,Information and monitoring of relevant bodies,,,"Nébih, ÁTE, EREN",,,,,,,,,Ready,10 points + information about temporal proximity must be collected. Is it relevant in Hungary? You have to listen.,,
"Echinococcus multilocularis eggs on berries, vegetables, and mushrooms",https://trello.com/c/5c79292d008b843fa8a940d8,5c79292d008b843fa8a940d8,0,Ready,,,,A parasite,"Echinococcus multilocularis is a tapeworm that causes human alveolar echinococcosis, one of the most dangerous zoonotic parasites with a high fatality rate. The incubation period can be 5-15 years. The initial period is asymptomatic. There is an increasing number of cases in Europe",#parasite #echinococcus #berries,,True,,EREN session,From another foreign institution/organization,Publication,,Data collection,3 (no),4,Not enough information,Not enough information,4,11.0,Known hazard and increased exposure,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,1 year,,Trend of raw food consumption,True,,2015-03-02T11:00:00.000Z,2016-03-02T11:00:00.000Z,We recommend including it in a monitoring plan,Vaccination of foxes,,Nébih,,,,,,,,,Ready,11 points + information about temporal proximity and measure must be collected. Is it relevant in Hungary? You have to listen.,,
Shiga Toxin-Producing Escherichia albertii,https://trello.com/c/5e3134f96bd4516943859a07,5e3134f96bd4516943859a07,0,,Done (was already on EREN),,,Microbiological hazard,"E. albertii was misidentified as E. coli. Basically this is not a problem, we will identify it because of shiga toxin genes.","STEA, E. albertii, leafy green",,,,It came up during IAFP conference abstract review,At a conference,There isn't,,Communication,1 (again),4,Not enough information,Not enough information,3,8.0,A new danger,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,6 months,,,,"We do not know the growth and mortality parameters of E. allbertii, its pathogenicity, it has been classified as emerging issuen by EREN",2020-03-01T11:00:00.000Z,2020-01-30T11:00:00.000Z,,"We do not know the growth and mortality parameters of E. allbertii, its pathogenicity, it has been classified as emerging issuen by EREN",,,,,,,,,,,Ready,"Not enough info, we need data on occurrence, route of infection and the microbe itself.",,
Influenza D virus in cattle and pigs,https://trello.com/c/5c9b465713498d6eda24847c,5c9b465713498d6eda24847c,0,Ready,Done (was already on EREN),,Virus,Microbiological hazard,"A putative new influenza virus related to genus D has been isolated in pigs and cattle in the USA, but has also appeared in cattle in France. The new virus is capable of infecting pigs and cattle, as well as replicating and spreading efficiently in ferrets - this was used for the animal model in which the spread of influenza was studied, so it can be assumed that it can also infect humans. Positive hemagglutination inhibition tests were also found in the North American population, but due to the few positive samples and other reasons, the presence of the influenza D virus in the human population is not yet clear.  Influenza is detected in animals using the PCR method based on the type A virus, which is therefore currently not suitable for detecting the type D of influenza. Method developments of this nature are underway.  Further investigation is required to reveal the range of host organisms and carrier species, as well as the specific role they play in the appearance of respiratory clinical symptoms observed in cattle, and the public health relevance of the presumed new virus must also be evaluated.",#Infulenza D #Cattle #Pig #Virus,,True,Legislation,EFSA EREN meeting,From another foreign institution/organization,Publication,True,"Communication, Authority",3 (no),1,Not enough information,3,4,11.0,A new danger,Eliminated 3. (observation),II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,Other,,,"First in the US in 2011, in pigs, then in cattle. More recent cases were in France and China. The pathogen has recently been discovered and an intercontinental spread of the pathogen is expected, with the potential to spread to European livestock populations.",2014-04-14T10:00:00.000Z,2015-04-14T10:00:00.000Z,nformation material for the Nébih,,,"NÉBIH - Tamás Abonyi, Attila Nagy, Enikő, Sarolta",,,,,,,,,Ready,There are no known cases of the virus in Hungary.,,
Information material on food supplements with plant active ingredients,https://trello.com/c/5c51a0cd7cb27f4aeac05e29,5c51a0cd7cb27f4aeac05e29,0,,,,,,"Here are the health risks associated with the mentioned dietary supplements:  1. Green Tea Extract:    - Hepatotoxic effects due to high doses of EGCG.    - Reported cases of liver damage and death linked to green tea extract supplements.  2. Seaweed:    - High iodine intake leading to hypothyroidism.    - Absorption of toxic materials (arsenic, cadmium, lead) from the environment.    - Production of toxic substances by algae (neurotoxins, hepatotoxins, dermatotoxins).    - Presence of viruses (norovirus, calicivirus, Vibrio species).  3. Piperine:    - High doses in supplements compared to food seasoning.    - Unsubstantiated health claims related to weight loss.    - Increased bioavailability of drug active ingredients.  4. Aloe Vera:    - Presence of aloin, leading to kidney and liver damage, acute hepatitis.  5. Diosmin and Hesperidin:    - Flavonoids from citrus fruits used in venous disease medications.    - Potential mutagenic and carcinogenic effects in dietary supplements.  6. Berberine:    - Unfounded health claims related to metabolic diseases, cardiovascular diseases, and tumors.    - Interactions with drugs and insufficient toxicological data.  7. Moringa Leaves:    - Unsubstantiated health claims including antioxidant, anti-inflammatory, and blood sugar control effects.    - Contains goitrogen substances, cyanoglycosides, phytates, and tannins causing thyroid disorders, liver enzyme disorders, contraceptive effects, and miscarriage.  8. Adulteration:    - Misuse of drug active ingredients in place of natural ingredients on labels for enhanced effects.    - Examples include benzodiazepines in sleep aids, sibutramine and fenfluramine in weight loss products, sildenafil, tadalafil, vardenafil in products for erectile dysfunction, and androgen steroids in muscle mass supplements.",#plantactiveingredients #foodsupplements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NÉBIH KKI, Enikő",,,,,,,,,,,,
Presence of Ochratoxin A Residues in Blood Serum of Slaughtered Pigs in Greece,https://trello.com/c/6720d88d0ee4a0a59b2f3d49,6720d88d0ee4a0a59b2f3d49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal diseases of amphibians and reptiles,https://trello.com/c/668d1e963daac7d78b8e6297,668d1e963daac7d78b8e6297,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Wasting Disease (CWD) and CJD,https://trello.com/c/667150f8df269fc0d6f31032,667150f8df269fc0d6f31032,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colistin resistance,https://trello.com/c/668d1b29214a03c13c08c83f,668d1b29214a03c13c08c83f,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dwarf Honeybee,https://trello.com/c/674305b5d3764908a21487dd,674305b5d3764908a21487dd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is a new vegan definition needed to keep allergy sufferers safe?,https://trello.com/c/65c1f312e3bb00c0f626f89a,65c1f312e3bb00c0f626f89a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar and sugar-sweetened beverages in relation to premature aging in adult survivors of childhood cancer,https://trello.com/c/66dfffbd59fea773a26b61d2,66dfffbd59fea773a26b61d2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are Supplements FDA Approved? Inside the Wild West of Diet Pills and Protein Powder,https://trello.com/c/65f00ea396de0075d5fd9095,65f00ea396de0075d5fd9095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studies of child diseases (congenital anomalies, acute lymphoblastic leukaemia etc.) linked to pesticide use in Brazil",https://trello.com/c/65699e6b9960aad40b2325d5,65699e6b9960aad40b2325d5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spices contamination from India,https://trello.com/c/6655999507bdaa43377e4aa8,6655999507bdaa43377e4aa8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oriental fruit fly (Bactrocera dorsalis), an insect that poses high risk to agriculture",https://trello.com/c/6627679e481d506e2ed81f0a,6627679e481d506e2ed81f0a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab-grown fish products,https://trello.com/c/630891c45c48ea003c02f20a,630891c45c48ea003c02f20a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-hour time-restricted eating linked to a 91% higher risk of cardiovascular death,https://trello.com/c/661e1b49c9b6054e910e20ad,661e1b49c9b6054e910e20ad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commonly used sweetener sucralose has ‘unexpected effect on immune system’, say scientists",https://trello.com/c/64350d96841814cc9ef33262,64350d96841814cc9ef33262,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany: frozen fish sticks contain hazardous 3-MCPD,https://trello.com/c/651fb6e56a00e45911d7c766,651fb6e56a00e45911d7c766,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study Reveals Pesticide Lurks in Popular Cereal Brands: Which Are Chlormequat-Free?,https://trello.com/c/65f00d20706adaa948f9df46,65f00d20706adaa948f9df46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New packaging rules might put at risk the water needs of 750,000 people each year",https://trello.com/c/650c3dd323d179f5e1cf22fc,650c3dd323d179f5e1cf22fc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tick born encephalitis virus (TBEV),https://trello.com/c/619cdcc77a010c333b0a53f5,619cdcc77a010c333b0a53f5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harima Chemicals : Develops World's First High Molecular Weight, Amphoteric PAM-based Paper Strengthening Agent Certified by FDA, BfR and GB9685",https://trello.com/c/6495472d14a0bfac58a30c58,6495472d14a0bfac58a30c58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Bioactive Compounds from Food Waste: Toxicity and Safety Concerns,https://trello.com/c/6239bb5ba4b21e171f3c05a8,6239bb5ba4b21e171f3c05a8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
